"","state","year","population"
"1","Alabama",2020,5031864
"2","Alaska",2020,732964
"3","Arizona",2020,7186683
"4","Arkansas",2020,3014348
"5","California",2020,39503200
"6","Colorado",2020,5785219
"7","Connecticut",2020,3577586
"8","Delaware",2020,991862
"9","District of Columbia",2020,670839
"10","Florida",2020,21591299
"11","Georgia",2020,10732390
"12","Hawaii",2020,1451181
"13","Idaho",2020,1849339
"14","Illinois",2020,12790357
"15","Indiana",2020,6789098
"16","Iowa",2020,3190904
"17","Kansas",2020,2938124
"18","Kentucky",2020,4508155
"19","Louisiana",2020,4652022
"20","Maine",2020,1364517
"21","Maryland",2020,6173689
"22","Massachusetts",2020,6997713
"23","Michigan",2020,10070627
"24","Minnesota",2020,5710578
"25","Mississippi",2020,2958409
"26","Missouri",2020,6154426
"27","Montana",2020,1087211
"28","Nebraska",2020,1963273
"29","Nevada",2020,3115840
"30","New Hampshire",2020,1378702
"31","New Jersey",2020,9272392
"32","New Mexico",2020,2118488
"33","New York",2020,20104710
"34","North Carolina",2020,10453812
"35","North Dakota",2020,779563
"36","Ohio",2020,11798292
"37","Oklahoma",2020,3965234
"38","Oregon",2020,4245044
"39","Pennsylvania",2020,12995477
"40","Rhode Island",2020,1096444
"41","South Carolina",2020,5132151
"42","South Dakota",2020,887852
"43","Tennessee",2020,6926091
"44","Texas",2020,29234361
"45","Utah",2020,3283982
"46","Vermont",2020,642936
"47","Virginia",2020,8637193
"48","Washington",2020,7724566
"49","West Virginia",2020,1791562
"50","Wisconsin",2020,5896700
"51","Wyoming",2020,577664
"52","Puerto Rico",2020,3281557
"53","Alabama",2021,5050380
"54","Alaska",2021,734923
"55","Arizona",2021,7272487
"56","Arkansas",2021,3028443
"57","California",2021,39145060
"58","Colorado",2021,5811596
"59","Connecticut",2021,3603691
"60","Delaware",2021,1004881
"61","District of Columbia",2021,669037
"62","Florida",2021,21830708
"63","Georgia",2021,10790385
"64","Hawaii",2021,1446745
"65","Idaho",2021,1904537
"66","Illinois",2021,12690341
"67","Indiana",2021,6813798
"68","Iowa",2021,3197944
"69","Kansas",2021,2937946
"70","Kentucky",2021,4507600
"71","Louisiana",2021,4627047
"72","Maine",2021,1378787
"73","Maryland",2021,6175045
"74","Massachusetts",2021,6991951
"75","Michigan",2021,10038117
"76","Minnesota",2021,5717968
"77","Mississippi",2021,2949582
"78","Missouri",2021,6170393
"79","Montana",2021,1106366
"80","Nebraska",2021,1964253
"81","Nevada",2021,3146632
"82","New Hampshire",2021,1387494
"83","New Jersey",2021,9269175
"84","New Mexico",2021,2116950
"85","New York",2021,19854526
"86","North Carolina",2021,10567100
"87","North Dakota",2021,777982
"88","Ohio",2021,11765227
"89","Oklahoma",2021,3991634
"90","Oregon",2021,4256465
"91","Pennsylvania",2021,13013614
"92","Rhode Island",2021,1097092
"93","South Carolina",2021,5193848
"94","South Dakota",2021,896299
"95","Tennessee",2021,6963709
"96","Texas",2021,29561286
"97","Utah",2021,3339284
"98","Vermont",2021,647093
"99","Virginia",2021,8657348
"100","Washington",2021,7741433
"101","West Virginia",2021,1785249
"102","Wisconsin",2021,5879978
"103","Wyoming",2021,579548
"104","Puerto Rico",2021,3262693
"105","Alabama",2022,5073903
"106","Alaska",2022,733276
"107","Arizona",2022,7365684
"108","Arkansas",2022,3046404
"109","California",2022,39040616
"110","Colorado",2022,5841039
"111","Connecticut",2022,3608706
"112","Delaware",2022,1019459
"113","District of Columbia",2022,670949
"114","Florida",2022,22245521
"115","Georgia",2022,10913150
"116","Hawaii",2022,1439399
"117","Idaho",2022,1938996
"118","Illinois",2022,12582515
"119","Indiana",2022,6832274
"120","Iowa",2022,3199693
"121","Kansas",2022,2936716
"122","Kentucky",2022,4511563
"123","Louisiana",2022,4588023
"124","Maine",2022,1389338
"125","Maryland",2022,6163981
"126","Massachusetts",2022,6982740
"127","Michigan",2022,10033281
"128","Minnesota",2022,5714300
"129","Mississippi",2022,2938928
"130","Missouri",2022,6177168
"131","Montana",2022,1122878
"132","Nebraska",2022,1968060
"133","Nevada",2022,3177421
"134","New Hampshire",2022,1399003
"135","New Jersey",2022,9260817
"136","New Mexico",2022,2113476
"137","New York",2022,19673200
"138","North Carolina",2022,10695965
"139","North Dakota",2022,778912
"140","Ohio",2022,11759697
"141","Oklahoma",2022,4019271
"142","Oregon",2022,4239379
"143","Pennsylvania",2022,12972091
"144","Rhode Island",2022,1093842
"145","South Carolina",2022,5282955
"146","South Dakota",2022,909869
"147","Tennessee",2022,7048976
"148","Texas",2022,30029848
"149","Utah",2022,3381236
"150","Vermont",2022,647110
"151","Virginia",2022,8679099
"152","Washington",2022,7784477
"153","West Virginia",2022,1774035
"154","Wisconsin",2022,5890543
"155","Wyoming",2022,581629
"156","Puerto Rico",2022,3220113
"157","Alabama",2023,5108468
"158","Alaska",2023,733406
"159","Arizona",2023,7431344
"160","Arkansas",2023,3067732
"161","California",2023,38965193
"162","Colorado",2023,5877610
"163","Connecticut",2023,3617176
"164","Delaware",2023,1031890
"165","District of Columbia",2023,678972
"166","Florida",2023,22610726
"167","Georgia",2023,11029227
"168","Hawaii",2023,1435138
"169","Idaho",2023,1964726
"170","Illinois",2023,12549689
"171","Indiana",2023,6862199
"172","Iowa",2023,3207004
"173","Kansas",2023,2940546
"174","Kentucky",2023,4526154
"175","Louisiana",2023,4573749
"176","Maine",2023,1395722
"177","Maryland",2023,6180253
"178","Massachusetts",2023,7001399
"179","Michigan",2023,10037261
"180","Minnesota",2023,5737915
"181","Mississippi",2023,2939690
"182","Missouri",2023,6196156
"183","Montana",2023,1132812
"184","Nebraska",2023,1978379
"185","Nevada",2023,3194176
"186","New Hampshire",2023,1402054
"187","New Jersey",2023,9290841
"188","New Mexico",2023,2114371
"189","New York",2023,19571216
"190","North Carolina",2023,10835491
"191","North Dakota",2023,783926
"192","Ohio",2023,11785935
"193","Oklahoma",2023,4053824
"194","Oregon",2023,4233358
"195","Pennsylvania",2023,12961683
"196","Rhode Island",2023,1095962
"197","South Carolina",2023,5373555
"198","South Dakota",2023,919318
"199","Tennessee",2023,7126489
"200","Texas",2023,30503301
"201","Utah",2023,3417734
"202","Vermont",2023,647464
"203","Virginia",2023,8715698
"204","Washington",2023,7812880
"205","West Virginia",2023,1770071
"206","Wisconsin",2023,5910955
"207","Wyoming",2023,584057
"208","Puerto Rico",2023,3205691
